X	HN23_1	HN25_1	HN26_1	HN28_1	HN_0	HN10_0	HN12_0	HN13_0	HN16_0	HN17_0	HN18_0	HN20_0	HN22_0	HN24_0	HN24_1	HN25_0	HN26_0	HN5_0	HN5_1	HN6_0	HN6_1	HN7_0	HN8_0
1	0	0.614785164	0.275048996	0.748917336	3.924558572	2.789619736	0.004383555	1.946969468	2.828354725	0.002826484	0.901382219	0.032953382	0.004314914	0	0	0.044843441	0	1.97989732	0.784750342	0.504467424	3.428769392	0	0.018118812
2	0	2.581726378	2.587392856	3.823264381	1.629646227	13.26470184	3.108644277	0.979244728	1.692378176	0.890513696	4.655504002	11.3227552	7.777392811	0.11121683	0.287758703	1.117717871	1.563205554	1.948393764	6.886302929	10.42815347	6.07982878	0	0
3	297.8450779	22.53525221	4.940292346	4.320556729	164.8464922	5.982446334	127.7893965	48.89048567	131.5823208	29.32827526	99.5444756	0.563736509	11.4179883	0.726226035	7.708659986	80.44845867	0.227173379	35.4968257	5.014281479	0.357454992	5.208263902	0	26.23136519
4	0	11.72897906	6.266056222	12.34764738	1.539076989	0	0.007054651	49.21283472	1.234731846	0	3.058396276	1.277204123	0.062994946	0.528506171	5.075816162	8.992250645	0	0.335338376	1.610402545	0	2.033788526	0	0.039801798
5	771.0814948	28.85109151	23.27291925	32.20808226	272.9725093	5.041555225	293.0005451	68.83765377	208.3388292	75.281996	157.6677299	40.0303964	66.25488909	4.171128846	310.4250785	27.83141252	0.009245329	125.1744693	107.5540063	8.724493847	2.008322901	226.8381295	49.08812828
6	0	3.114562396	16.06448213	8.160974322	58.55904348	151.3910827	0	70.80322521	10.81770536	3.809790528	13.98960177	2.941709914	6.241476973	0	49.03172828	12.78627193	21.48215683	24.14138152	37.53914226	8.526142146	4.106494632	0	30.17588058
7	0	0.051228373	3.832622826	0.7432402	0.079511082	0.036896684	0	21.03433174	0.020315804	1.272685866	2.932570239	0.147095361	0	0.008108088	71.71781561	0.037286854	42.44383313	1.765431432	2.838467334	0	0.050803239	0	26.15215041
8	0	0.351106977	0.234721616	0.624738125	0	1.821097008	0.004931501	0	1.025352226	0.604653912	0.151016634	0.626008323	5.060279761	2.72101694	0	0.011240272	0.083207501	0.008082846	0.680586808	0.178174429	0.878316617	0	0.527026021
9	27.1564585	60.93703104	31.19627836	60.69792031	131.5005646	42.28475914	28.63254312	39.15284858	58.79555695	241.8700825	145.0763312	22.23119516	116.1794349	77.32740238	227.9641473	49.35227029	62.84239479	23.57923651	22.42952466	59.54274716	51.46392072	125.1661947	60.73677132
10	14.55248716	4.559078007	9.7113867	2.65975631	12.04872671	0	0.03856182	60.32011316	22.2475376	10.190002	33.74886684	0	5.04881607	0	31.80507035	5.952553338	0	433.9423119	165.1709573	34.90501241	8.129621927	0	27.58998522
11	133.0182348	25.8576076	12.8540046	8.73242281	62.97521089	111.2961839	13.34298402	5.054941641	33.48251149	38.3797011	28.45268051	0.383626844	35.83349309	7.098719361	7.00535579	49.39068007	53.21342356	40.20152082	29.98939232	7.263061301	6.812539674	0	40.83842264
12	0	0.031812047	1.549594696	0.015239797	0.193935967	0.005517292	0.127534261	0.085366468	0.851091113	0.025096404	0.041013632	93.40239708	0.029594371	0.036080417	0	0.037286628	0.04283096	0.024766898	0.025321864	0.188241312	2.588949188	0	0.064850879
13	0	26.26433871	12.96752079	3.860927241	13.07612201	6.866882117	1.186956309	77.16407464	48.20350429	8.879926178	30.44415826	0.13604257	56.47284622	0.051216342	267.1057214	0.789239207	13.81327325	67.06443701	75.60779053	4.04114207	17.33944773	0	37.50674765
14	0	7.925579924	0	9.128510082	0.017678004	18.5620757	0	21.50107698	0.011894668	0	1.537137423	0.012895094	0.004568604	0	0	0	0	2.269870297	0	0	5.963737418	0	0
15	0	5.474728154	14.46513264	10.92491055	4.477882237	0	0	4.286513617	0	0	1.467993259	0	3.943912431	62.91161936	0	1.701377135	30.85242423	0	0	0	0	0	4.510192432
16	0	1.929522541	1.240435547	0.399269198	14.31039282	0	0	4.248144936	0.272868063	0	8.578839603	0	0	0	0	4.037372239	0.254329724	0.03611421	0.738888133	0	2.572975537	0	17.81827337
17	0.698036173	113.2311249	18.63370806	2.934021352	3.029995756	2.788882539	11.9658277	10.35596377	3.954801009	6.471174029	21.70797918	2.424119046	159.0014898	0.798110024	117.9562166	201.43366	5.751977957	12.6236996	25.98835984	17.57145856	8.585208286	1.801426269	5.666276006
18	461.4187007	50.34844341	78.40585095	23.91225343	290.9055417	95.13281095	303.6606385	44.75888015	233.100043	51.81824719	177.96583	30.16571356	22.57002104	16.71484503	3.792969733	162.6081506	76.48850049	128.0159629	25.72242679	7.79695818	8.636562156	20.9923538	20.26690588
19	99.38386393	43.16528169	47.48597692	61.50094721	49.53611877	13.33995577	47.90343405	31.57252969	49.21014879	28.19796521	46.01498098	2.021470055	37.10475692	25.39090748	18.15985959	33.76297377	63.03546814	38.69081651	98.9474321	11.67156006	82.62143325	0.048571265	44.25435104
20	5.419429017	16.14754048	11.40301448	10.03752028	15.89588184	13.81880408	13.91509868	6.055943383	10.53778502	8.409402828	8.700422882	3.466839035	7.209324901	2.315593858	13.22291087	15.61970982	30.0401824	9.197431309	19.19896216	4.049995645	13.33840639	0.668573922	7.778641424
21	0	0.214315191	0	0	0.728150621	0.003103449	0.034178172	11.09262256	3.710472882	0.533928632	1.341974271	0.001048739	0.002487324	0	3.33368978	0	0	10.49264561	5.723858881	1.279389067	2.79476196	0	1.734892782
22	0	2.164065229	2.79579839	2.308394339	1.004173047	0	0	91.52547313	3.395582577	5.824396168	2.105711112	0.132261635	3.507333846	22.86829661	0	6.08171749	0	2.747823234	3.468668682	1.249019818	1.465900348	0	13.53317456
23	1.84963313	1.826501187	3.919606019	3.892921757	0.604784101	0.693559714	2.936427951	5.035539977	6.727052832	1.121519319	5.24924431	0.782296595	2.711911953	1.693784509	7.040745747	2.700643259	1.253057643	5.412770324	9.196523677	3.150434487	9.148639621	0.011428938	8.394758835
24	0	0.156468696	3.227876775	1.633851973	0.006554289	0	0	0	0.197456126	0.059333499	0	3.578228291	0	0.158780765	0.116122857	0.408939233	0.0384913	4.696791878	3.886980851	1.024833324	0.82350827	0	0
25	0	0	0.989273136	0	0	0	0	0	0.229118323	0	0	0.243902523	0	0	0	0	0	4.933498617	0	1.741461168	2.969111621	0	0
26	29.05490807	26.38393602	14.4258269	29.53720504	58.11024369	9.366734616	28.86325381	12.5087577	46.94104351	9.433704842	38.74998988	25.46633397	3.875006364	11.45838009	19.70095847	36.1287012	2.927030038	5.870370504	22.23630586	8.15581455	18.82671098	0.047142623	30.28217249
27	44.4126332	4.31298289	0.005083797	2.869975845	9.31054599	4.433293587	14.77305798	4.921280175	7.443379278	2.531238468	4.414519164	0.14318929	4.730675534	11.59997528	8.793127053	0.547329132	0.004528341	5.97229279	4.014061618	2.54083821	2.057207842	0	0.006237655
28	0	0.005145455	0.012039034	0	0.118687313	0	0.022123402	0	0.125842936	0.060322491	0.241665605	0.014564242	0.006091427	0	0	0	0	0.005284809	0.026315604	0	0.065474503	0	0
29	0	0.211682578	0.011620204	0.210733623	0.16771397	0	0	5.086940161	0.041807155	0.011798773	0.442609338	0.004224512	0.02604053	0	0	0.09911225	0.062264817	0.341232899	0	0	0	0	0.029109133
30	0.006470553	1.676667923	0.817258817	0.284465097	0.755614974	0.241269744	6.391017197	1.897433977	0.69512896	0.176637185	0.224956393	0.400689063	0.037614254	0.40309864	0.387955055	1.936628239	0.810356279	0.515484995	0.1033332	0.086058078	1.759210189	0.845714217	13.87909002
31	0	2.633977615	4.792876192	1.670606299	24.74779586	89.75873375	0	63.16236506	4.005824795	1.452994452	7.14064275	0.957622309	0.002436561	1.891906523	0	0.294997368	0.095848823	0.995078872	1.830268246	0.891308081	1.663267525	0	114.1862877
32	0	1.86011705	0.027150997	0.184692853	0.792945093	0	0.171092372	0.006341491	0.155397712	0.503551867	1.339429001	2.215367641	0.057918938	0	0.025714653	3.391731454	0.013018891	0.485650313	2.030053475	0.075838807	0.413355701	1.551348534	0.034356461
33	24.19872314	5.02272108	0.456782212	0.430449819	47.29178435	0.004482809	39.84240633	4.014026987	25.91613343	10.86606644	10.36494558	8.772475255	4.399588254	0.272959444	0.091836253	42.25491035	5.137945037	6.788239241	2.868100324	4.516762735	1.21088523	23.77976451	38.87937573
34	38.17647177	51.65762042	13.26543359	4.760215736	31.27781754	18.5851856	31.89805228	239.8411129	64.23056643	2.133949914	33.63211291	0.055317301	15.11278587	0	33.14135899	70.23840888	0	112.5836866	138.8550749	15.83324272	11.77517159	0	35.92191979
35	0	2.243177755	8.976480147	4.422025037	0.661492589	0	0.819059089	0.957056737	0.847094316	3.052741391	1.934140722	14.34626545	5.420729756	2.549696824	0.345098234	1.487205238	1.858435374	2.27973353	2.939697983	7.281348815	5.064076727	1.361420767	8.609190784
