X	HN23_1	HN25_1	HN26_1	HN28_1	HN_0	HN10_0	HN12_0	HN13_0	HN16_0	HN17_0	HN18_0	HN20_0	HN22_0	HN24_0	HN24_1	HN25_0	HN26_0	HN5_0	HN5_1	HN6_0	HN6_1	HN7_0	HN8_0
1	19.45339678	5.393839978	4.555635882	5.786417443	5.218358059	14.91948505	9.77071983	4.320003282	8.676689916	6.668745773	6.539324319	13.15826911	4.339477537	2.416005991	3.004089963	5.591685459	4.648782406	3.826552965	4.184999067	18.72263386	23.97322346	0.440004678	15.21397813
2	16.84470688	1.191895229	1.496626058	1.726445549	39.86962555	0	46.28158257	5.971901469	12.55282009	4.53505909	5.419076657	0.00453477	0	0	0	0.304582883	3.973841501	14.95611086	5.858868288	8.707933824	5.117204854	0	9.304932842
3	0.268033385	16.37789214	12.77718211	19.978446	17.0693634	9.308305807	15.76304227	19.21927366	10.15642366	19.2709358	6.027028862	9.304976449	5.938234301	16.96405214	38.92093689	11.26144698	11.02824974	3.299765135	9.788797232	8.800565387	15.05529868	17.93163998	5.661464621
4	0	0.828431691	18.91520907	0.481101869	0	23.91512887	0.342134847	3.953264279	0.849835811	0.001713059	1.387738289	1.962902233	0.002791881	0	0	20.21752865	11.75243053	0.996206777	0.116026778	1.071600903	0	0	0
5	99.50148675	16.90637292	4.536975845	5.042365845	79.06760956	19.69009839	112.072759	68.44868228	59.47917649	22.61283199	32.11225878	6.610121538	4.069376307	5.689024455	12.90666698	38.50199766	16.34688129	59.98001792	19.2516033	10.37795495	10.30048102	24.30963449	27.70776341
6	0	0.369694573	0.384022968	4.413669129	0.268876141	0	0	0	1.119734689	0.463165735	0.687287046	0.37371003	2.451322242	6.460066479	0.015306	0	0.072263835	0.961251716	1.361660247	2.250820066	19.46326973	0	11.01527947
7	67.16342273	102.5289267	131.0663506	113.8584925	132.519119	215.2377549	80.3927134	111.2424466	168.3093998	174.7803474	116.6898761	159.203644	152.2106513	151.0988365	55.69414801	185.3606618	222.2290946	165.2641728	106.6710207	179.5119198	108.7908662	78.88457417	150.2245248
8	14.59786803	6.085592994	8.007756653	6.032906257	21.26034584	5.707036478	29.08935309	14.35717155	5.024398168	12.45731403	7.378497441	6.424904259	3.266177186	5.923660426	0.780178874	11.99733989	3.159527874	7.613067511	13.34305756	26.62283382	13.11739376	0	8.138823955
9	35.41716554	45.85268384	40.31850873	46.1236204	128.2819473	48.93181079	125.9797314	136.3928442	72.37121672	52.63340317	53.3906223	69.7064335	93.60374636	80.23341409	113.3731562	104.0859559	50.37723262	66.47265796	32.45136719	49.80230463	30.47447	46.5086351	44.91584275
10	0	1.157665157	11.13331436	17.30461557	0.009812678	17.27397254	0	0	13.46393986	1.525929649	1.268200547	11.41530376	4.215669874	13.80839075	39.95323537	0	23.27257015	21.52321248	78.63596948	15.57220155	22.35300942	0	55.7671717
