X	HN23_1	HN25_1	HN26_1	HN28_1	HN_0	HN10_0	HN12_0	HN13_0	HN16_0	HN17_0	HN18_0	HN20_0	HN22_0	HN24_0	HN24_1	HN25_0	HN26_0	HN5_0	HN5_1	HN6_0	HN6_1	HN7_0	HN8_0
1	0	0.614785164	0.275048996	0.748917336	3.924558572	2.789619736	0.004383555	1.946969468	2.828354725	0.002826484	0.901382219	0.032953382	0.004314914	0	0	0.044843441	0	1.97989732	0.784750342	0.504467424	3.428769392	0	0.018118812
2	0	3.114562396	16.06448213	8.160974322	58.55904348	151.3910827	0	70.80322521	10.81770536	3.809790528	13.98960177	2.941709914	6.241476973	0	49.03172828	12.78627193	21.48215683	24.14138152	37.53914226	8.526142146	4.106494632	0	30.17588058
3	0	0	0	0	0	0	2.882711495	0	0.001806978	0	0	0	0	0	0	0	0	0	0.015087613	0	0.305699021	0	0
4	0.559805908	0.936074588	0.847378359	2.990982805	0.492734278	0.351151364	1.172173944	5.741337228	2.228923458	0.275609388	1.480215381	0.333588339	0.237461365	0.117431881	0.434077441	1.203959372	0.364338094	1.259823946	0.565954988	0.575700435	2.346719738	0.251428905	3.397717639
5	8.115868999	48.64758514	12.97734154	21.12560464	21.49100162	16.45494595	2.702632255	96.9417376	33.63610334	6.065138368	17.53832766	2.338761607	45.38434464	75.68510086	117.8292873	23.37589277	15.70629035	19.59125505	36.15245903	40.01234131	50.66256152	0	47.27135481
6	0	11.05122422	5.946903704	20.41514951	6.732663884	38.28473737	0	1.610108055	7.053055057	6.165311445	9.371018768	19.79259683	14.71378928	7.313403452	3.931957862	4.750896507	10.01294034	3.345407413	4.903597137	20.88524198	31.06803568	0	17.79221634
7	0	2.633977615	4.792876192	1.670606299	24.74779586	89.75873375	0	63.16236506	4.005824795	1.452994452	7.14064275	0.957622309	0.002436561	1.891906523	0	0.294997368	0.095848823	0.995078872	1.830268246	0.891308081	1.663267525	0	114.1862877
8	0	6.757976244	66.78738119	8.605352203	16.66133027	50.44307094	0.829870919	35.62697741	11.85632886	47.41932652	12.43244943	149.1979882	13.67470743	0	8.61852777	9.984039584	252.8358997	22.51155564	18.04824722	25.10593547	4.508562237	354.3782259	105.8047354
9	0	1.117900084	1.090466652	0.590271384	25.88935819	30.91627753	27.03266776	59.81801767	5.860293743	0	5.414411662	0	0	0	0.045509198	11.55179604	0	0.373472475	2.365159425	0	0	0	10.24586885
10	0	13.6455661	16.71269718	10.78246366	49.5990495	398.7340792	0.032945299	36.82127831	11.37896602	15.73126004	22.12614046	15.60105344	3.802516966	1.918351758	1.81488863	18.00366989	28.48531794	23.00574236	8.873914616	6.148638457	3.579871438	0	273.7740775
11	0	10.60561916	1.985532557	3.401698571	12.71088801	21.92669311	0.008767283	42.17978492	7.024364292	1.398346336	5.042228228	0.005140319	0	0	0	3.823263649	0	1.682628383	0.385072385	0.01518242	2.824027801	0	57.49980701
12	16.42109093	10.17759805	22.57569545	11.19006144	24.57344306	46.91558896	14.67641596	165.9680496	37.9004366	21.66850666	12.66349946	0.765046439	3.035869356	106.2382725	0	36.86539649	79.96147195	44.04545688	56.70510132	36.20458623	17.90805925	0	235.9105858
13	52.36761307	2.293912802	1.738246388	3.043857283	18.04842723	0	25.94118827	18.51874519	1.319633065	0.670556408	5.89126705	0.16825764	3.867945608	0	4.115762628	0	0	24.04202872	15.02625005	0.029270224	1.114370426	0	126.9932973
14	0	130.2685715	135.9111016	214.6044314	57.65826603	129.2412867	5.748851287	69.57061334	96.12664026	20.43939398	24.43963664	6.733693396	190.8028781	54.15467801	227.8392795	58.64917757	31.10677134	80.82813469	43.43736972	58.22019969	227.8710586	48.24043341	230.6618879
15	0	7.61664713	2.930052845	2.131866106	24.42312398	47.3412777	0.006027474	79.59432795	3.266646745	4.193571848	6.07343305	0.00298379	0.0039087	0	0.748366322	19.38432093	0	1.519827273	0.182398541	0	0.641700399	0	63.35504035
16	0.144312836	3.180409212	1.607139133	3.825251298	1.129206259	18.24226369	0.31123215	19.05520849	1.187012124	0.807102826	4.139708485	0.16174264	0.209897675	1.58852005	4.275040575	3.411450703	2.287509649	0.516889393	3.031540136	2.875268512	2.747202135	0.307146042	9.493757396
17	0	0	0.403831695	0.250069033	0.426526355	0	0	0	1.873173351	0	0	0	0	0	0	0	0	0.002176156	1.244765807	0.737456193	0.090726548	0	4.364887476
18	0	27.16708095	18.68658336	35.46020106	15.18126188	54.82368675	3.920968888	35.49924813	26.9940979	7.004875016	10.15708689	0.482394035	16.42348797	16.08789196	33.01718948	19.38531713	9.026748175	17.45231874	22.97265112	15.37754935	42.15723445	0	68.62798497
19	48.98761059	1.034149341	1.331952698	2.742868167	38.25189553	4.055070102	6.705900209	18.32029781	8.144063623	3.692374229	11.63148	0.068418912	1.34488631	0.638795204	5.938779474	0	0	2.452543139	0.228951873	1.330133624	1.785397834	0	12.58926894
20	0	4.668364645	4.435155249	11.57680945	0.292317043	0	0.002123272	1.543594199	2.807184648	0.20450114	0.702765977	1.33485243	2.446934246	22.73919711	0.024490047	6.864014828	5.325881985	0.954667545	1.866144295	7.8691165	35.79992558	0	36.92947361
21	0	4.180325773	0.020949804	3.305994852	0	62.91071548	0	14.42343872	0.38246626	4.550012815	2.157332781	0.017193462	0	0	0	3.012279576	0.143020031	0	1.564646256	0.229336786	1.449141698	0	5.0942445
22	7.23347073	4.76358602	3.387950915	6.056522547	17.21296087	53.91970251	5.206926165	14.25180206	4.417671295	1.352706775	7.200595418	1.351179784	0.591574474	0.548513809	1.690978031	4.112557719	2.508844524	3.490716774	5.590891389	3.158566741	13.40789513	1.792849464	14.76413956
23	0	3.496577124	3.265747794	2.038922849	0.52728292	16.50023429	3.163678834	3.255430247	1.698253046	2.282099543	1.372503496	5.182580803	1.70623334	0.615964195	4.243492643	4.764823529	6.565869444	8.093318461	3.505749407	1.979578943	1.80695054	34.86328441	4.819274519
24	2.338232642	2.073429911	6.283788955	2.138649041	3.966671518	3.107830328	5.234259452	47.20101811	5.481549554	2.231903931	3.733200634	2.148998165	1.883346989	1.315678074	11.78046362	6.338708033	3.07453329	3.775052734	10.17695531	2.171177744	6.281994489	2.439988554	10.98252112
25	23.99834649	14.93710166	7.173737512	3.306519569	17.31678581	38.88325831	20.17553146	31.34772936	5.659978395	3.615790273	18.00887506	0.29522623	6.673915896	31.08884892	42.31739252	4.617653512	0	11.76885017	9.232089124	1.317400564	0.02605834	0	107.7789158
