	Bcells	CD4_Tcells	CD8_Tcells	Monocytes	Neutrophils	NKcells
5S_rRNA	0	0	0	0	0	0
5S_rRNA.148	0	0	0	0	0	0
5S_rRNA.17	0	0	0	0	0	0
5S_rRNA.251	0	0	0	0	0	0
5S_rRNA.279	0	0	0	0	0	0
5S_rRNA.341	0	0	0	0	0	0
5S_rRNA.36	0	0	0	0	0	0
5S_rRNA.369	0	0	0	0	0	0
5S_rRNA.377	0	0	0	0	0	0
5S_rRNA.389	0	0	0	0	0	0
5S_rRNA.407	0	0	0	0	0	0
5S_rRNA.430	0	0	0	0	0	0
5S_rRNA.448	0	0	0	0	0	0
5S_rRNA.470	0	0	0	0	0	0
5S_rRNA.473	0	0	0	0	0	0
5S_rRNA.48	0	0	0	0	0	0
5S_rRNA.486	0	0	0	0	0	0
5S_rRNA.61	0	0	0	0	0	0
7SK.13	0	0	0	0	0	0
7SK.139	0	0	0	0	0	0
7SK.160	0	0	0	0	0	0
7SK.176	0	0	0	0	0	0
7SK.208	0	0	0	0	0	0
7SK.234	0	0	0	0	0	0
7SK.258	0	0	0	0	0	0
7SK.267	0	0	0	0	0	0
7SK.272	0	0	0	0	0	0
7SK.280	0.493118068679982	0.63668601389803	0.232553032047861	0.151105435795459	0	0.977551456856853
7SK.31	43.9178582423479	0	1.76175116249808	7.87870650213983	34.5456594093644	32.0470852058982
7SK.45	0	0	0	0	0	0
7SK.94	0.503247018398942	0.282384793824934	1.08503330023226	1.92297608859295	2.34185407498662	1.04501004217035
A1BG	7.20915535084727	6.08456419802088	9.44594750197085	7.85667048041977	0.180546675214462	2.63343649020093
A1CF	0	0	0	0	0	0
A2M	0.020331970776325	0.0462088635198436	0.413348510215595	0.385539729529748	0	2.21951671021829
A2M-AS1	0.0406602036186655	0.328585838211665	0.87844279664641	0.682638148712747	0	1.73822359639927
A2ML1	0	0.0154024054649816	0	0.0104215538896133	0.00910877643982468	0.0206902416527144
A3GALT2	0	0	0	0.0156320565432044	0.870921156654597	0
A4GALT	0.122006868727259	0	0	0	0	0
A4GNT	0	0	0	0.0729390098862808	0	0
AAAS	23.681336210592	23.8568175201819	21.1732248381006	19.1226203332875	5.24895706088643	30.7229562232715
AACS	4.11663543502726	5.04235948343377	5.43589976072309	4.31357197624163	1.05150306800718	9.75915593767837
AACSP1	0	0	0	0	0	0
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL2-AS1	0.330448011756845	0.369692066371651	0.289308306783187	0.286568870719464	0.796594569427452	0.501827526257448
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0
AADAT	0	0	0	0	0	0.0620816847551678
AAED1	13.3991424481039	11.013383824754	20.5762366835097	25.0305025374408	3.23935886899733	23.7599708238058
AAGAB	12.6058223857389	12.6980401007567	13.0148496198098	15.1627083600084	7.95448807782446	22.5365651268741
AAK1	1.41301421206815	30.7707936292762	31.4984805069263	8.34848379827138	5.1407428100284	45.3610186924643
AAMDC	5.53062517542267	10.1397663518755	7.30552897497641	11.6825234155834	6.39395041180715	11.0552653942155
AAMP	48.9797195600726	40.4428295984809	43.4183618395985	75.9423697153391	12.5010572049201	74.0375461163577
AANAT	2.99956813315785	0.154037070703496	0.232489532275201	0.729474517633251	0.966538740617234	0.96720825845211
AAR2	12.5196645767393	16.9793344467759	21.5472793186837	17.2364272548808	1.12606913610667	28.0332499844899
AARD	0.325407332532727	0.18484087595282	0.24802663143341	0.208427369075712	0.297368870880219	0.915750848265161
AARS	17.5990719271377	14.4320631625881	11.0269690803372	9.17186734391863	0.223198172835675	17.5116610654462
AARS2	9.64870986851404	8.49770415508614	9.70284913916803	4.87704976347606	0.669114300020208	12.5635819118118
AARSP1	0	0	0	0	0	0
AASDH	8.02225637292564	8.41003751776339	7.99886293882854	4.75189909347839	1.36096892143192	10.6327605001864
AASDHPPT	12.9731879410178	12.9015404582725	12.5247150984279	12.6498646727183	5.49266011205049	20.1375259361765
AASS	6.65968896909159	3.32179132563286	3.25003692061917	1.18790205098088	2.06049710939209	5.25500043496022
AATBC	0.244008955617056	0.189981338668375	0.253177605848423	27.4872693416736	0.0478030911224661	0.771138799991278
AATF	29.7433782333494	39.9160742972137	34.7536924597994	38.9671394057764	41.7535431100445	44.848965793944
AATK	0.122003964832844	0.112948364402447	0.134324974126729	8.63756320846452	112.132013562168	7.52662283100596
AATK-AS1	0	0	0	0	0	0
AB015752.1	0	0	0	0	0	0
AB015752.3	0	0	0	0	0	0
AB019437.11	0	0	0	0	0	0
AB019437.30	0	0	0	0	0	0
AB019438.18	0	0	0	0	0	0
AB019438.19	0	0	0	0	0	0
AB019438.20	0.859125314375228	0	0	0	0	0
AB019438.66	0	0	0	0	0	0
AB019439.11	0	0	0	0	0	0
AB019439.12	0.340603241004679	0.133499571499531	0.180837469927813	0	0	0.651826902444234
AB019439.23	0.477839011489285	0.184822994786433	0	0	0	0
AB019439.32	0	0	0	0	0	0
AB019439.5	630.340998715485	0.251586896344777	0.537421513044558	0	0	0
AB019440.1	470.014960155379	0.00513413816529708	0.573533051582316	0	0	0
AB019440.12	0	0	0	0	0	0
AB019440.19	0.325343713343249	0.256730772230384	0.346239748125326	0.260554094962693	0	0.682805581857139
AB019440.22	0	0	0	0	0	0
AB019440.24	0	0	0	0	0	0
AB019440.30	0	0	0	0	0	0
AB019440.4	99.3196758421673	3.22429714591685	0.862885796912034	0	0	3.3109847040653
AB019440.5	189.74316916501	0	0	0	0	0
AB019441.12	135.807780367504	0.308090073439314	0	0	0	0
AB019441.29	0	0	0	0	0	0
ABAT	5.64218121145258	3.33181592666155	2.96071039808857	9.12911627235729	23.5961278701434	6.14601342018075
ABC12-47043100G14.2	0	0	0	0	0	0
ABCA1	6.52787369995708	0.929239418185623	0.480442549012884	4.12717914349441	23.2407424995233	0.206972675440228
ABCA10	0.857313187637685	0.657256370189673	0.785394118896822	0.26022573013824	0.254906858893867	1.57798563767239
ABCA11P	0.782789105012339	0.282372863262004	0.315207585660549	0.0625450344068747	0.0637274586671015	0.522572172065333
ABCA12	0	0	0	0	0	0
ABCA13	0.0711695263221979	0.0410772844775523	0.0465055880936701	0.281369845855825	0.669879005132951	0.175878723509878
ABCA17P	0.0739876998738851	1.04234486930944	0.692264324924941	0	0	0.222464796823207
ABCA2	19.1542572286848	54.6316389037611	130.550473326612	12.1196770831681	57.5306670374552	347.712883103994
ABCA3	1.32169018113353	3.18318882412174	3.84429533454512	0.500216922285678	0	7.21847422233316
ABCA4	0	0	0	0	0	0.0310362130222324
ABCA5	3.32495599397328	4.143312039711	4.6704313371691	0.541933293181995	1.62548742194144	9.29168079291936
ABCA6	0.30496912178294	0.0616096375856162	0.0568377019580247	0.343889945579794	0.0424865619824523	0.222507257721042
ABCA7	202.735293923719	155.986968173783	132.07129274627	75.2948671778907	415.02079980301	166.035913587952
ABCA8	0	0	0	0	0	0
ABCA9	0.322079669813094	0.205363595659975	0.2014863751956	0.427304514344803	0.308019713824015	0.589822041245077
ABCA9-AS1	0	0	0	0	0	0
ABCB1	5.99852827094816	3.61979886444567	13.5891095747228	0	0	49.5826415658486
ABCB10	9.24059138149893	10.0594906321311	8.12818785285982	13.4107889439684	1.04159147323315	16.2763853934628
